timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1670921983733,367,CategoryAPI_ Request,200,OK,S01_CategoriesAPI_Scenario 2-1,text,true,,3233,155,5,5,https://api.tmsandbox.co.nz/v1/Categories/6328/Details.json,367,0,156
1670921988641,444,CategoryAPI_ Request,200,OK,S01_CategoriesAPI_Scenario 2-2,text,true,,3229,155,5,5,https://api.tmsandbox.co.nz/v1/Categories/6329/Details.json,443,0,253
1670921994274,347,CategoryAPI_ Request,200,OK,S01_CategoriesAPI_Scenario 2-3,text,true,,3245,155,5,5,https://api.tmsandbox.co.nz/v1/Categories/6330/Details.json,347,0,94
1670922003633,281,CategoryAPI_ Request,200,OK,S01_CategoriesAPI_Scenario 2-4,text,false,,786,155,5,5,https://api.tmsandbox.co.nz/v1/Categories/6331/Details.json,281,0,101
1670922004126,291,CategoryAPI_ Request,200,OK,S01_CategoriesAPI_Scenario 2-5,text,true,,3225,155,5,5,https://api.tmsandbox.co.nz/v1/Categories/6332/Details.json,291,0,92
1670922012232,189,CategoryAPI_ Request,200,OK,S01_CategoriesAPI_Scenario 2-1,text,true,,3231,155,5,5,https://api.tmsandbox.co.nz/v1/Categories/6333/Details.json,189,0,0
1670922013142,269,CategoryAPI_ Request,200,OK,S01_CategoriesAPI_Scenario 2-2,text,true,,3220,155,4,4,https://api.tmsandbox.co.nz/v1/Categories/6334/Details.json,269,0,0
1670922016046,182,CategoryAPI_ Request,200,OK,S01_CategoriesAPI_Scenario 2-3,text,true,,3220,155,3,3,https://api.tmsandbox.co.nz/v1/Categories/6335/Details.json,182,0,0
1670922025642,204,CategoryAPI_ Request,200,OK,S01_CategoriesAPI_Scenario 2-4,text,true,,3220,155,2,2,https://api.tmsandbox.co.nz/v1/Categories/6336/Details.json,204,0,0
1670922026467,198,CategoryAPI_ Request,200,OK,S01_CategoriesAPI_Scenario 2-5,text,true,,1942,155,1,1,https://api.tmsandbox.co.nz/v1/Categories/6327/Details.json,197,0,0
